what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1358785690969
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1358785690969
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1358785690969
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1358785690985
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1358785690985
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1358785690985
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1358785690985
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1358785690985
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1358785690985
started,bundle,org.tigris.subversion.subclipse.ui,1.8.18,"org.tigris.subversion.subclipse.ui",1358785690985
os,sysinfo,,,"win32",1358785690985
arch,sysinfo,,,"x86",1358785690985
ws,sysinfo,,,"win32",1358785690985
locale,sysinfo,,,"en_US",1358785690985
processors,sysinfo,,,"2",1358785690985
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358785690985
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1358785690985
java.specification.name,sysinfo,,,"Java Platform API Specification",1358785690985
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358785690985
java.specification.version,sysinfo,,,"1.6",1358785690985
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1358785690985
java.version,sysinfo,,,"1.6.0_21",1358785690985
java.vm.info,sysinfo,,,"mixed mode",1358785690985
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1358785690985
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358785690985
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358785690985
java.vm.specification.version,sysinfo,,,"1.0",1358785690985
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1358785690985
java.vm.version,sysinfo,,,"17.0-b16",1358785690985
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358785691110
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1358785691235
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1358785691235
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1358785691266
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1358785696016
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1358785696673
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1358785696907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358785697720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358785704704
