what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849016820
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849018147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849024645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849024645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849024786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849027004
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849042749
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849071739
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849073848
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849079409
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849080893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849084345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849084345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849084501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849097715
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849098949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849108759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849108759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849108899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849114913
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849116334
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849120255
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849122223
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849131392
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849134469
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849147105
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849148246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849148902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849148917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849149058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849154322
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849157680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849159508
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849169286
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849181422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849182453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849182453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849182594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357849201103
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849203087
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849251493
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849252899
