what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1358537426952
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1358537426952
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1358537426952
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1358537426952
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1358537426952
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1358537427015
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1358537427015
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1358537427015
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1358537427015
started,bundle,org.tigris.subversion.subclipse.ui,1.8.15,"org.tigris.subversion.subclipse.ui",1358537427062
os,sysinfo,,,"win32",1358537427062
arch,sysinfo,,,"x86",1358537427062
ws,sysinfo,,,"win32",1358537427062
locale,sysinfo,,,"en_US",1358537427062
processors,sysinfo,,,"2",1358537427062
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358537427062
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1358537427062
java.specification.name,sysinfo,,,"Java Platform API Specification",1358537427062
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358537427062
java.specification.version,sysinfo,,,"1.6",1358537427062
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1358537427062
java.version,sysinfo,,,"1.6.0_21",1358537427062
java.vm.info,sysinfo,,,"mixed mode, sharing",1358537427062
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1358537427062
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358537427062
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358537427062
java.vm.specification.version,sysinfo,,,"1.0",1358537427062
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1358537427062
java.vm.version,sysinfo,,,"17.0-b16",1358537427062
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1358537427280
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1358537427343
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1358537427359
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1358537427405
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1358537626468
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1358537647343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1358537647405
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1358537654202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1358537770265
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358537772171
